flag,current,run,epoch,loss,accuracy,precision,recall,f1,auc,epoch_duration,run_duration,lr,batch_size,shuffle,device,num_workers
demography,Train,1,1,0.76328,0.482871,0.489751,0.483297,0.478277,0.480882,2.086506,2.1204,0.01,50,False,cuda,1
demography,Train,1,2,0.729064,0.508157,0.514056,0.570787,0.534337,0.504487,2.137862,4.400881,0.01,50,False,cuda,1
demography,Train,1,3,0.747932,0.521207,0.524924,0.540528,0.524281,0.518002,2.0934,6.633915,0.01,50,False,cuda,1
demography,Train,1,4,0.745764,0.508972,0.510371,0.531497,0.511433,0.502784,2.230783,9.003357,0.01,50,False,cuda,1
demography,Test,1,1,0.741387,0.522814,0.489052,0.62424,0.545787,0.528618,1.901878,11.050882,0.01,50,False,cuda,1
demography,Train,1,5,0.755215,0.511419,0.511023,0.543649,0.512665,0.512273,2.010596,13.062503,0.01,50,False,cuda,1
demography,Train,1,6,0.719701,0.504894,0.51822,0.546645,0.522849,0.51032,2.002645,15.207767,0.01,50,False,cuda,1
demography,Train,1,7,0.716325,0.539152,0.549462,0.585195,0.55798,0.544818,2.044533,17.392924,0.01,50,False,cuda,1
demography,Train,1,8,0.695141,0.575041,0.586549,0.585089,0.578238,0.580244,2.025611,19.561154,0.01,50,False,cuda,1
demography,Test,1,2,0.715988,0.585551,0.554991,0.615307,0.578275,0.587956,1.882991,21.589728,0.01,50,False,cuda,1
demography,Train,2,1,0.823152,0.515498,0.479273,0.482386,0.473898,0.509231,1.967731,1.972761,0.01,100,False,cuda,1
demography,Train,2,2,0.764687,0.503263,0.522276,0.552225,0.527213,0.513783,1.96087,4.082198,0.01,100,False,cuda,1
demography,Train,2,3,0.756427,0.51876,0.517513,0.576646,0.536916,0.519308,1.916863,6.165587,0.01,100,False,cuda,1
demography,Train,2,4,0.764048,0.51876,0.512755,0.557624,0.51723,0.515475,1.906951,8.248044,0.01,100,False,cuda,1
demography,Test,2,1,0.732351,0.522814,0.495202,0.493323,0.492152,0.523531,1.895944,10.288637,0.01,50,False,cuda,1
demography,Train,2,5,0.758667,0.539967,0.535032,0.544147,0.534814,0.532833,1.936855,12.22646,0.01,100,False,cuda,1
demography,Train,2,6,0.744804,0.56199,0.556131,0.661381,0.597373,0.564047,1.89789,14.268999,0.01,100,False,cuda,1
demography,Train,2,7,0.728375,0.602773,0.60358,0.653538,0.619632,0.605669,1.927816,16.341457,0.01,100,False,cuda,1
demography,Train,2,8,0.671347,0.623165,0.629193,0.675979,0.644527,0.632886,1.892936,18.390076,0.01,100,False,cuda,1
demography,Test,2,2,0.682522,0.623574,0.594045,0.661534,0.623609,0.628714,1.851096,20.387758,0.01,50,False,cuda,1
demography,Train,3,1,0.716873,0.502447,0.51662,0.550038,0.508724,0.509295,2.200121,2.20411,0.001,50,False,cuda,1
demography,Train,3,2,0.676745,0.595432,0.59655,0.671906,0.625889,0.599918,2.97919,5.42166,0.001,50,False,cuda,1
demography,Train,3,3,0.603624,0.69168,0.689358,0.733401,0.706111,0.696489,2.277874,7.863118,0.001,50,False,cuda,1
demography,Train,3,4,0.506952,0.757749,0.757787,0.788467,0.767826,0.763661,2.164216,10.180924,0.001,50,False,cuda,1
demography,Test,3,1,0.64651,0.69962,0.648541,0.772507,0.703912,0.699666,2.136312,12.573549,0.001,50,False,cuda,1
demography,Train,3,5,0.426052,0.817292,0.812737,0.837315,0.822555,0.819866,2.009593,14.584147,0.001,50,False,cuda,1
demography,Train,3,6,0.311053,0.87602,0.882078,0.884933,0.880708,0.878802,1.996663,16.727418,0.001,50,False,cuda,1
demography,Train,3,7,0.276424,0.902936,0.892454,0.912643,0.899916,0.899477,2.026581,18.895618,0.001,50,False,cuda,1
demography,Train,3,8,0.260098,0.905383,0.900386,0.926643,0.911599,0.907582,2.06448,21.103804,0.001,50,False,cuda,1
demography,Test,3,2,0.497769,0.80038,0.766134,0.835447,0.796067,0.80338,1.842073,23.091489,0.001,50,False,cuda,1
demography,Train,4,1,0.743403,0.514682,0.532627,0.55154,0.50908,0.517466,1.962706,1.967711,0.001,100,False,cuda,1
demography,Train,4,2,0.691077,0.631321,0.616761,0.727048,0.663595,0.634111,1.879973,3.9913,0.001,100,False,cuda,1
demography,Train,4,3,0.620645,0.683524,0.694657,0.736527,0.713327,0.699813,1.928843,6.063758,0.001,100,False,cuda,1
demography,Train,4,4,0.516102,0.745514,0.755867,0.783557,0.767317,0.759568,1.975753,8.230009,0.001,100,False,cuda,1
demography,Test,4,1,0.606022,0.697719,0.656231,0.757108,0.701146,0.701152,2.419466,10.820049,0.001,50,False,cuda,1
demography,Train,4,5,0.432747,0.82137,0.829249,0.845586,0.835376,0.827534,2.285887,13.107931,0.001,100,False,cuda,1
demography,Train,4,6,0.382127,0.834421,0.836405,0.871332,0.851761,0.843079,2.013986,15.317459,0.001,100,False,cuda,1
demography,Train,4,7,0.322462,0.875204,0.878799,0.897348,0.8863,0.882863,1.931839,17.402949,0.001,100,False,cuda,1
demography,Train,4,8,0.28805,0.888254,0.893332,0.909553,0.899006,0.895521,2.059499,19.644912,0.001,100,False,cuda,1
demography,Test,4,2,0.607975,0.781369,0.749552,0.832995,0.785652,0.787451,2.179174,21.979663,0.001,50,False,cuda,1
